12
1.0 0.37 0.19 {4.19, 111.94, 0, 80.0, 2, 2401.81, 17.18, 34.38} 	 origin >= 2 and Model == 80
1.0 0.39 0.19 {4.0, 116.9, 0, 80.0, 2, 2447.25, 17.13, 32.0} 	 Clndrs == 3 or Clndrs == 4 and Model == 80
1.0 0.36 0.19 {4.0, 107.29, 0, 80.0, 2, 2326.36, 17.4, 34.29} 	 Clndrs == 3 or Clndrs == 4 and origin >= 2 and Model == 80
0.8 0.43 0.17 {4.14, 106.9, 0, 76.39, 2, 2336.05, 16.48, 29.12} 	 origin >= 2
0.8 0.42 0.17 {3.98, 102.19, 0, 76.18, 2, 2259.82, 16.56, 29.47} 	 Clndrs == 3 or Clndrs == 4 and origin >= 2
0.67 0.39 0.19 {4.0, 116.9, 0, 80.0, 2, 2447.25, 17.13, 32.0} 	 Clndrs == 4 and Model == 80
0.67 0.36 0.19 {4.0, 107.29, 0, 80.0, 2, 2326.36, 17.4, 34.29} 	 Clndrs == 4 and origin >= 2 and Model == 80
0.67 0.43 0.17 {3.99, 110.74, 0, 76.89, 1, 2328.47, 16.54, 29.03} 	 Clndrs == 3 or Clndrs == 4
0.48 0.42 0.17 {4.0, 102.77, 0, 76.24, 2, 2260.4, 16.61, 29.64} 	 Clndrs == 4 and origin >= 2
